"pid","treatment","date","site","subsample","conspecific","other","proportion_cons","proportion_het","total"
"14D","damage","2018-07-11","gf1","a",78,23,0.772277228,0.227722772277228,101
"14D","damage","2018-07-11","gf1","b",76,26,0.745098039,0.254901960784314,102
"17D","damage","2018-07-11","gf1","a",55,31,0.639534884,0.36046511627907,86
"17D","damage","2018-07-11","gf1","b",47,18,0.723076923,0.276923076923077,65
"18D","damage","2018-07-11","gf1","a",9,8,0.529411765,0.470588235294118,17
"18D","damage","2018-07-11","gf1","b",5,6,0.454545455,0.545454545454545,11
"21C","control","2018-07-11","gf1","a",111,0,1,0,111
"21C","control","2018-07-11","gf1","b",13,9,0.590909091,0.409090909090909,22
"22C","control","2018-07-11","gf1","a",74,0,1,0,74
"22C","control","2018-07-11","gf1","b",NA,0,NA,NA,NA
"22D","damage","2018-07-11","gf1","a",39,12,0.764705882,0.235294117647059,51
"22D","damage","2018-07-11","gf1","b",31,34,0.476923077,0.523076923076923,65
"23C","control","2018-07-11","gf1","a",204,0,1,0,204
"23C","control","2018-07-11","gf1","b",61,0,1,0,61
"23D","damage","2018-07-11","gf1","a",66,11,0.857142857,0.142857142857143,77
"23D","damage","2018-07-11","gf1","b",94,14,0.87037037,0.12962962962963,108
"24C","control","2018-07-11","gf1","a",82,12,0.872340426,0.127659574468085,94
"24C","control","2018-07-11","gf1","b",26,2,0.928571429,0.0714285714285714,28
"25C","control","2018-07-11","gf1","a",25,0,1,0,25
"25C","control","2018-07-11","gf1","b",0,0,NA,NA,0
"66C","control","2018-07-13","gf1","a",28,2,0.933333333,0.0666666666666667,30
"66C","control","2018-07-13","gf1","b",44,2,0.956521739,0.0434782608695652,46
"66D","damage","2018-07-13","gf1","a",58,18,0.763157895,0.236842105263158,76
"66D","damage","2018-07-13","gf1","b",11,13,0.458333333,0.541666666666667,24
"67C","control","2018-07-13","gf1","a",66,6,0.916666667,0.0833333333333333,72
"67C","control","2018-07-13","gf1","b",1,3,0.25,0.75,4
"67D","damage","2018-07-13","gf1","a",43,8,0.843137255,0.156862745098039,51
"67D","damage","2018-07-13","gf1","b",39,14,0.735849057,0.264150943396226,53
"68C","control","2018-07-13","gf1","a",12,2,0.857142857,0.142857142857143,14
"68C","control","2018-07-13","gf1","b",3,1,0.75,0.25,4
"68D","damage","2018-07-13","gf1","a",58,18,0.763157895,0.236842105263158,76
"68D","damage","2018-07-13","gf1","b",71,38,0.651376147,0.348623853211009,109
"69C","control","2018-07-13","gf1","a",16,0,1,0,16
"69C","control","2018-07-13","gf1","b",206,9,0.958139535,0.0418604651162791,215
"69D","damage","2018-07-13","gf1","a",77,16,0.827956989,0.172043010752688,93
"69D","damage","2018-07-13","gf1","b",67,8,0.893333333,0.106666666666667,75
"70C","control","2018-07-13","gf1","a",34,11,0.755555556,0.244444444444444,45
"70C","control","2018-07-13","gf1","b",8,2,0.8,0.2,10
"70D","damage","2018-07-13","gf1","a",103,11,0.903508772,0.0964912280701754,114
"70D","damage","2018-07-13","gf1","b",63,2,0.969230769,0.0307692307692308,65
"71C","control","2018-07-13","gf1","a",11,9,0.55,0.45,20
"71C","control","2018-07-13","gf1","b",8,4,0.666666667,0.333333333333333,12
"71D","damage","2018-07-13","gf1","a",22,20,0.523809524,0.476190476190476,42
"71D","damage","2018-07-13","gf1","b",16,15,0.516129032,0.483870967741935,31
"72C","control","2018-07-13","gf1","a",76,2,0.974358974,0.0256410256410256,78
"72C","control","2018-07-13","gf1","b",72,14,0.837209302,0.162790697674419,86
"72D","damage","2018-07-13","gf1","a",21,12,0.636363636,0.363636363636364,33
"72D","damage","2018-07-13","gf1","b",68,29,0.701030928,0.298969072164948,97
"73C","control","2018-07-13","gf1","a",81,9,0.9,0.1,90
"73C","control","2018-07-13","gf1","b",30,1,0.967741936,0.032258064516129,31
"73D","damage","2018-07-13","gf1","a",2,8,0.2,0.8,10
"73D","damage","2018-07-13","gf1","b",54,14,0.794117647,0.205882352941176,68
"74C","control","2018-07-13","gf1","a",59,1,0.983333333,0.0166666666666667,60
"74C","control","2018-07-13","gf1","b",4,0,1,0,4
"74D","damage","2018-07-13","gf1","a",34,11,0.755555556,0.244444444444444,45
"74D","damage","2018-07-13","gf1","b",58,16,0.783783784,0.216216216216216,74
"75C","control","2018-07-13","gf1","a",7,1,0.875,0.125,8
"75C","control","2018-07-13","gf1","b",14,0,1,0,14
"75D","damage","2018-07-13","gf1","a",3,11,0.214285714,0.785714285714286,14
"75D","damage","2018-07-13","gf1","b",74,18,0.804347826,0.195652173913043,92
