"pid","treatment","date","site","subsample","conspecific","other","proportion_cons","proportion_het","total"
"10D","damage","2018-07-11","gf1","a",117,4,0.966942149,0.0330578512396694,121
"10D","damage","2018-07-11","gf1","b",45,5,0.9,0.1,50
"11D","damage","2018-07-11","gf1","a",409,0,1,0,409
"11D","damage","2018-07-11","gf1","b",81,28,0.743119266,0.256880733944954,109
"16C","control","2018-07-11","gf1","a",44,0,1,0,44
"16C","control","2018-07-11","gf1","b",35,1,0.972222222,0.0277777777777778,36
"16D","damage","2018-07-11","gf1","a",111,5,0.956896552,0.0431034482758621,116
"16D","damage","2018-07-11","gf1","b",70,10,0.875,0.125,80
"17C","control","2018-07-11","gf1","a",26,0,1,0,26
"17C","control","2018-07-11","gf1","b",54,0,1,0,54
"18C","control","2018-07-11","gf1","a",43,0,1,0,43
"18C","control","2018-07-11","gf1","b",27,0,1,0,27
"19C","control","2018-07-11","gf1","a",2,2,0.5,0.5,4
"19C","control","2018-07-11","gf1","b",93,0,1,0,93
"1D","damage","2018-07-11","gf1","a",61,9,0.871428571,0.128571428571429,70
"1D","damage","2018-07-11","gf1","b",29,16,0.644444444,0.355555555555556,45
"20C","control","2018-07-11","gf1","a",62,1,0.984126984,0.0158730158730159,63
"20C","control","2018-07-11","gf1","b",41,0,1,0,41
"21D","damage","2018-07-11","gf1","a",54,3,0.947368421,0.0526315789473684,57
"21D","damage","2018-07-11","gf1","b",90,3,0.967741936,0.032258064516129,93
"24D","damage","2018-07-11","gf1","a",105,5,0.954545455,0.0454545454545455,110
"24D","damage","2018-07-11","gf1","b",147,11,0.930379747,0.069620253164557,158
"25D","damage","2018-07-11","gf1","a",36,12,0.75,0.25,48
"25D","damage","2018-07-11","gf1","b",41,9,0.82,0.18,50
"27C","control","2018-07-12","gf3","a",4,0,1,0,4
"27C","control","2018-07-12","gf3","b",9,0,1,0,9
"28C","control","2018-07-12","gf3","a",14,0,1,0,14
"28C","control","2018-07-12","gf3","b",43,0,1,0,43
"28D","damage","2018-07-12","gf3","a",39,1,0.975,0.025,40
"28D","damage","2018-07-12","gf3","b",55,3,0.948275862,0.0517241379310345,58
"2C","control","2018-07-11","gf1","a",357,0,1,0,357
"2C","control","2018-07-11","gf1","b",35,0,1,0,35
"30D","damage","2018-07-12","gf3","a",62,2,0.96875,0.03125,64
"30D","damage","2018-07-12","gf3","b",67,8,0.893333333,0.106666666666667,75
"31C","control","2018-07-12","gf3","a",7,0,1,0,7
"31C","control","2018-07-12","gf3","b",40,0,1,0,40
"32C","control","2018-07-12","gf3","a",16,0,1,0,16
"32C","control","2018-07-12","gf3","b",14,0,1,0,14
"32D","damage","2018-07-12","gf3","a",23,7,0.766666667,0.233333333333333,30
"32D","damage","2018-07-12","gf3","b",32,6,0.842105263,0.157894736842105,38
"34C","control","2018-07-12","gf3","a",222,0,1,0,222
"34C","control","2018-07-12","gf3","b",36,0,1,0,36
"35D","damage","2018-07-12","gf3","a",85,15,0.85,0.15,100
"35D","damage","2018-07-12","gf3","b",59,4,0.936507937,0.0634920634920635,63
"36C","control","2018-07-12","gf3","a",38,2,0.95,0.05,40
"36C","control","2018-07-12","gf3","b",10,0,1,0,10
"36D","damage","2018-07-12","gf3","a",13,0,1,0,13
"36D","damage","2018-07-12","gf3","b",14,0,1,0,14
"37D","damage","2018-07-12","gf3","a",72,1,0.98630137,0.0136986301369863,73
"37D","damage","2018-07-12","gf3","b",57,15,0.791666667,0.208333333333333,72
"38C","control","2018-07-12","gf3","a",69,0,1,0,69
"38C","control","2018-07-12","gf3","b",24,0,1,0,24
"38D","damage","2018-07-12","gf3","a",43,9,0.826923077,0.173076923076923,52
"38D","damage","2018-07-12","gf3","b",124,7,0.946564886,0.0534351145038168,131
"39D","damage","2018-07-12","gf3","a",73,12,0.858823529,0.141176470588235,85
"39D","damage","2018-07-12","gf3","b",40,7,0.85106383,0.148936170212766,47
"41C","control","2018-07-12","gf3","a",26,0,1,0,26
"41C","control","2018-07-12","gf3","b",17,3,0.85,0.15,20
"43C","control","2018-07-12","gf3","a",39,3,0.928571429,0.0714285714285714,42
"43C","control","2018-07-12","gf3","b",39,0,1,0,39
"43D","damage","2018-07-12","gf3","a",21,5,0.807692308,0.192307692307692,26
"43D","damage","2018-07-12","gf3","b",36,12,0.75,0.25,48
"44D","damage","2018-07-12","gf3","a",51,10,0.836065574,0.163934426229508,61
"44D","damage","2018-07-12","gf3","b",36,6,0.857142857,0.142857142857143,42
"45C","control","2018-07-12","gf3","a",38,2,0.95,0.05,40
"45C","control","2018-07-12","gf3","b",71,0,1,0,71
"46C","control","2018-07-13","gf1","a",75,0,1,0,75
"46C","control","2018-07-13","gf1","b",14,0,1,0,14
"46D","damage","2018-07-13","gf1","a",100,5,0.952380952,0.0476190476190476,105
"46D","damage","2018-07-13","gf1","b",12,6,0.666666667,0.333333333333333,18
"47C","control","2018-07-13","gf1","a",33,2,0.942857143,0.0571428571428571,35
"47C","control","2018-07-13","gf1","b",42,4,0.913043478,0.0869565217391304,46
"47D","damage","2018-07-13","gf1","a",98,2,0.98,0.02,100
"47D","damage","2018-07-13","gf1","b",63,0,1,0,63
"48C","control","2018-07-13","gf1","a",29,6,0.828571429,0.171428571428571,35
"48C","control","2018-07-13","gf1","b",44,0,1,0,44
"48D","damage","2018-07-13","gf1","a",47,4,0.921568628,0.0784313725490196,51
"48D","damage","2018-07-13","gf1","b",17,0,1,0,17
"49C","control","2018-07-13","gf1","a",5,0,1,0,5
"49C","control","2018-07-13","gf1","b",35,0,1,0,35
"49D","damage","2018-07-13","gf1","a",42,2,0.954545455,0.0454545454545455,44
"49D","damage","2018-07-13","gf1","b",24,0,1,0,24
"4C","control","2018-07-11","gf1","a",131,0,1,0,131
"4C","control","2018-07-11","gf1","b",99,0,1,0,99
"4D","damage","2018-07-11","gf1","a",35,4,0.897435897,0.102564102564103,39
"4D","damage","2018-07-11","gf1","b",86,18,0.826923077,0.173076923076923,104
"50C","control","2018-07-13","gf1","a",87,0,1,0,87
"50C","control","2018-07-13","gf1","b",55,0,1,0,55
"50D","damage","2018-07-13","gf1","a",47,0,1,0,47
"50D","damage","2018-07-13","gf1","b",25,6,0.806451613,0.193548387096774,31
"51C","control","2018-07-13","gf1","a",7,0,1,0,7
"51C","control","2018-07-13","gf1","b",16,0,1,0,16
"51D","damage","2018-07-13","gf1","a",61,18,0.772151899,0.227848101265823,79
"51D","damage","2018-07-13","gf1","b",16,3,0.842105263,0.157894736842105,19
"52C","control","2018-07-13","gf1","a",38,0,1,0,38
"52C","control","2018-07-13","gf1","b",61,0,1,0,61
"52D","damage","2018-07-13","gf1","a",51,2,0.962264151,0.0377358490566038,53
"52D","damage","2018-07-13","gf1","b",69,8,0.896103896,0.103896103896104,77
"53C","control","2018-07-13","gf1","a",30,2,0.9375,0.0625,32
"53C","control","2018-07-13","gf1","b",63,0,1,0,63
"53D","damage","2018-07-13","gf1","a",52,2,0.962962963,0.037037037037037,54
"53D","damage","2018-07-13","gf1","b",38,0,1,0,38
"54C","control","2018-07-13","gf1","a",24,0,1,0,24
"54C","control","2018-07-13","gf1","b",22,0,1,0,22
"54D","damage","2018-07-13","gf1","a",41,4,0.911111111,0.0888888888888889,45
"54D","damage","2018-07-13","gf1","b",47,2,0.959183674,0.0408163265306122,49
"55C","control","2018-07-13","gf1","a",31,0,1,0,31
"55C","control","2018-07-13","gf1","b",26,0,1,0,26
"55D","damage","2018-07-13","gf1","a",50,0,1,0,50
"55D","damage","2018-07-13","gf1","b",101,4,0.961904762,0.0380952380952381,105
"5C","control","2018-07-11","gf1","a",124,2,0.984126984,0.0158730158730159,126
"5C","control","2018-07-11","gf1","b",41,0,1,0,41
"6C","control","2018-07-11","gf1","a",0,0,NA,NA,0
"6C","control","2018-07-11","gf1","b",11,0,1,0,11
"6D","damage","2018-07-11","gf1","a",87,1,0.988636364,0.0113636363636364,88
"6D","damage","2018-07-11","gf1","b",67,3,0.957142857,0.0428571428571429,70
"76C","control","2018-07-16","gf3","a",57,9,0.863636364,0.136363636363636,66
"76C","control","2018-07-16","gf3","b",54,2,0.964285714,0.0357142857142857,56
"76D","damage","2018-07-16","gf3","a",28,0,1,0,28
"76D","damage","2018-07-16","gf3","b",80,0,1,0,80
"77C","control","2018-07-16","gf3","a",66,20,0.767441861,0.232558139534884,86
"77C","control","2018-07-16","gf3","b",95,16,0.855855856,0.144144144144144,111
"77D","damage","2018-07-16","gf3","a",45,1,0.97826087,0.0217391304347826,46
"77D","damage","2018-07-16","gf3","b",35,0,1,0,35
"78C","control","2018-07-16","gf3","a",43,1,0.977272727,0.0227272727272727,44
"78C","control","2018-07-16","gf3","b",38,9,0.808510638,0.191489361702128,47
"78D","damage","2018-07-16","gf3","a",53,1,0.981481482,0.0185185185185185,54
"78D","damage","2018-07-16","gf3","b",45,6,0.882352941,0.117647058823529,51
"79C","control","2018-07-16","gf3","a",34,8,0.80952381,0.19047619047619,42
"79C","control","2018-07-16","gf3","b",62,3,0.953846154,0.0461538461538462,65
"79D","damage","2018-07-16","gf3","a",40,2,0.952380952,0.0476190476190476,42
"79D","damage","2018-07-16","gf3","b",15,0,1,0,15
"7D","damage","2018-07-11","gf1","a",89,6,0.936842105,0.0631578947368421,95
"7D","damage","2018-07-11","gf1","b",37,0,1,0,37
"80C","control","2018-07-16","gf3","a",31,7,0.815789474,0.184210526315789,38
"80C","control","2018-07-16","gf3","b",32,4,0.888888889,0.111111111111111,36
"80D","damage","2018-07-16","gf3","a",43,0,1,0,43
"80D","damage","2018-07-16","gf3","b",14,0,1,0,14
"81C","control","2018-07-16","gf3","a",83,2,0.976470588,0.0235294117647059,85
"81C","control","2018-07-16","gf3","b",16,2,0.888888889,0.111111111111111,18
"81D","damage","2018-07-16","gf3","a",34,1,0.971428571,0.0285714285714286,35
"81D","damage","2018-07-16","gf3","b",82,3,0.964705882,0.0352941176470588,85
"82C","control","2018-07-16","gf3","a",44,12,0.785714286,0.214285714285714,56
"82C","control","2018-07-16","gf3","b",56,0,1,0,56
"82D","damage","2018-07-16","gf3","a",70,0,1,0,70
"82D","damage","2018-07-16","gf3","b",19,0,1,0,19
"83C","control","2018-07-16","gf3","a",73,8,0.901234568,0.0987654320987654,81
"83C","control","2018-07-16","gf3","b",59,3,0.951612903,0.0483870967741935,62
"83D","damage","2018-07-16","gf3","a",27,0,1,0,27
"83D","damage","2018-07-16","gf3","b",38,0,1,0,38
"84C","control","2018-07-16","gf3","a",25,2,0.925925926,0.0740740740740741,27
"84C","control","2018-07-16","gf3","b",27,0,1,0,27
"84D","damage","2018-07-16","gf3","a",78,0,1,0,78
"84D","damage","2018-07-16","gf3","b",46,0,1,0,46
"85C","control","2018-07-16","gf3","a",70,0,1,0,70
"85C","control","2018-07-16","gf3","b",43,8,0.843137255,0.156862745098039,51
"85D","damage","2018-07-16","gf3","a",72,0,1,0,72
"85D","damage","2018-07-16","gf3","b",46,0,1,0,46
"8C","control","2018-07-11","gf1","a",162,0,1,0,162
"8C","control","2018-07-11","gf1","b",46,0,1,0,46
