"bid","site","treatment","date","time","plant_species","poll_species","poll_genus","poll_simple","pollinia","corbs","X"
"B214","gf3","damage",2018-07-16,"10:48:00","galium","Other","Other","Other",0,0,""
"C15","gf1","control",2018-07-11,"00:53:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C204","gf3","control",2018-07-16,"09:39:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C206","gf3","damage",2018-07-16,"10:43:00","galium","Diptera","Diptera","Diptera",0,0,""
"C207","gf3","damage",2018-07-16,"10:50:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C208","gf3","damage",2018-07-16,"10:51:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C211","gf3","damage",2018-07-16,"10:56:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C217","gf3","control",2018-07-16,"00:42:00","galium","Syrphus","Syrphus","Syrphus",0,0,""
"C219","gf3","damage",2018-07-16,"13:17:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C4","gf1","control",2018-07-11,"10:01:00","galium","Musca domestica","Musca","Diptera",0,0,""
"C52","gf3","damage",2018-07-12,"09:15:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C53","gf3","damage",2018-07-12,"09:25:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C63","gf3","damage",2018-07-12,"00:16:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"C70","gf3","control",2018-07-12,"13:36:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"D10","gf1","control",2018-07-11,"10:10:00","galium","Bombus griseocollis","Bombus","Bombus",0,1,""
"D131","gf1","control",2018-07-13,"14:36:00","galium","Therion morio","Therion","Wasp",0,0,""
"D51","gf3","damage",2018-07-12,"09:15:00","galium","Bombus impatiens","Bombus","Bombus",0,0,""
"D53","gf3","damage",2018-07-12,"09:24:00","galium","Syrphus","Syrphus","Diptera",0,0,""
"D59","gf3","control",2018-07-12,"10:22:00","galium","Bombus griseocollis","Bombus","Bombus",0,0,""
"D8","gf1","control",2018-07-11,"10:01:00","galium","Helophilus fasciatus","Helophilus","Diptera",0,0,""
"A1","gf1","damage",2018-07-11,"09:40:00","milkweed","Bombus vagans","Bombus","Bombus",3,0,""
"A101","gf1","damage",2018-07-13,"10:10:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"A102","gf1","damage",2018-07-13,"10:13:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"A103","gf1","damage",2018-07-13,"10:16:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"A104","gf1","damage",2018-07-13,"10:24:00","milkweed","Bombus vagans","Bombus","Bombus",0,0,""
"A105","gf1","damage",2018-07-13,"10:24:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
