"pid","treatment","date","site","subsample","conspecific","other","proportion_cons","proportion_het","total"
"10C","control","2018-07-11","gf1","a",421,0,1,0,421
"10C","control","2018-07-11","gf1","b",199,0,1,0,199
"11C","control","2018-07-11","gf1","a",232,0,1,0,232
"11C","control","2018-07-11","gf1","b",99,1,0.99,0.01,100
"12C","control","2018-07-11","gf1","a",110,18,0.859375,0.140625,128
"12C","control","2018-07-11","gf1","b",111,6,0.948717949,0.0512820512820513,117
"12D","damage","2018-07-11","gf1","a",63,24,0.724137931,0.275862068965517,87
"12D","damage","2018-07-11","gf1","b",57,6,0.904761905,0.0952380952380952,63
"13C","control","2018-07-11","gf1","a",674,12,0.982507289,0.0174927113702624,686
"13C","control","2018-07-11","gf1","b",349,3,0.991477273,0.00852272727272727,352
"13D","damage","2018-07-11","gf1","a",174,51,0.773333333,0.226666666666667,225
"13D","damage","2018-07-11","gf1","b",223,61,0.785211268,0.214788732394366,284
"14C","control","2018-07-11","gf1","a",62,2,0.96875,0.03125,64
"14C","control","2018-07-11","gf1","b",196,0,1,0,196
"15C","control","2018-07-11","gf1","a",285,0,1,0,285
"15C","control","2018-07-11","gf1","b",115,2,0.982905983,0.0170940170940171,117
"15D","damage","2018-07-11","gf1","a",259,40,0.866220736,0.133779264214047,299
"15D","damage","2018-07-11","gf1","b",283,30,0.904153355,0.0958466453674121,313
"19D","damage","2018-07-11","gf1","a",60,24,0.714285714,0.285714285714286,84
"19D","damage","2018-07-11","gf1","b",42,13,0.763636364,0.236363636363636,55
"1C","control","2018-07-11","gf1","a",NA,0,NA,NA,NA
"1C","control","2018-07-11","gf1","b",102,0,1,0,102
"20D","damage","2018-07-11","gf1","a",31,9,0.775,0.225,40
"20D","damage","2018-07-11","gf1","b",35,15,0.7,0.3,50
"26C","control","2018-07-12","gf3","a",98,14,0.875,0.125,112
"26C","control","2018-07-12","gf3","b",114,63,0.644067797,0.355932203389831,177
"26D","damage","2018-07-12","gf3","a",92,4,0.958333333,0.0416666666666667,96
"26D","damage","2018-07-12","gf3","b",109,25,0.813432836,0.186567164179104,134
