vid,treatment,site ,pods,herb,seeds
1,control,gf1,2,0,2.5
2,control,gf1,4,1,2.5
3,control,gf1,0,1,
4,control,gf1,3,0,2.33
5,control,gf1,0,1,
6,control,gf1,5,1,2.6
7,control,gf1,1,0,5
8,control,gf1,1,0,2
9,control,gf1,1,0,2
10,control,gf1,4,0,2.25
11,damage,gf1,0,0,
12,damage,gf1,6,0,1.83
13,damage,gf1,0,0,
14,damage,gf1,2,0,2.25
15,damage,gf1,0,0,
16,damage,gf1,5,0,3.2
17,damage,gf1,3,0,2.67
18,damage,gf1,3,0,2.33
19,damage,gf1,7,0,2.14
20,damage,gf1,7,1,2.14
21,control,gf3,0,1,
23,control,gf3,2,1,1.5
24,control,gf3,4,0,2.25
25,control,gf3,0,1,
26,control,gf3,4,0,1.5
27,control,gf3,6,1,2.33
29,control,gf3,2,0,3.5
30,control,gf3,2,1,3.5
31,damage,gf3,8,0,2.38
32,damage,gf3,7,0,2.43
33,damage,gf3,4,1,2.25
34,damage,gf3,1,1,0
35,damage,gf3,2,1,1
36,damage,gf3,2,0,0.5
37,damage,gf3,0,0,
38,damage,gf3,0,0,
39,damage,gf3,0,0,
40,damage,gf3,0,0,
