"","pid","treatment","date","site","conspecific","other"
"1","A1","control","2019-06-27","gf1",128,4
"2","A2","control","2019-06-27","gf1",76,2
"3","A3","control","2019-06-27","gf1",51,1
"4","A4","control","2019-06-27","gf1",53,2
"5","A5","control","2019-06-27","gf1",79,1
"6","A6","control","2019-06-27","gf1",26,1
"7","A7","control","2019-06-27","gf1",28,3
"8","A8","control","2019-06-27","gf1",71,2
"9","A9","control","2019-06-27","gf1",214,4
"10","A10","control","2019-06-27","gf1",15,0
"11","B1","damage","2019-06-27","gf1",44,13
"12","B2","damage","2019-06-27","gf1",299,11
"13","B3","damage","2019-06-27","gf1",102,4
"14","B4","damage","2019-06-27","gf1",56,3
"15","B5","damage","2019-06-27","gf1",70,4
"16","B6","damage","2019-06-27","gf1",86,7
"17","B7","damage","2019-06-27","gf1",28,1
"18","B8","damage","2019-06-27","gf1",225,14
"19","B9","damage","2019-06-27","gf1",79,0
"20","B10","damage","2019-06-27","gf1",150,2
"21","B11","damage","2019-06-28","gf2",119,7
"22","B12","damage","2019-06-28","gf2",224,10
"23","B13","damage","2019-06-28","gf2",38,26
"24","B14","damage","2019-06-28","gf2",98,15
"25","B15","damage","2019-06-28","gf2",27,8
"26","B16","damage","2019-06-28","gf2",39,7
"27","B17","damage","2019-06-28","gf2",244,0
"28","B18","damage","2019-06-28","gf2",200,3
"29","B19","damage","2019-06-28","gf2",68,0
"30","B20","damage","2019-06-28","gf2",41,1
"31","B21","control","2019-06-28","gf2",53,1
"32","B22","control","2019-06-28","gf2",29,1
"33","B23","control","2019-06-28","gf2",23,0
"34","B24","control","2019-06-28","gf2",124,0
"35","B25","control","2019-06-28","gf2",123,6
"36","B26","control","2019-06-28","gf2",59,3
"37","B27","control","2019-06-28","gf2",78,1
"38","B28","control","2019-06-28","gf2",38,7
"39","B29","control","2019-06-28","gf2",211,4
"40","B30","control","2019-06-28","gf2",42,3
"41","B31","damage","2019-07-01","gf3",37,4
"42","B32","damage","2019-07-01","gf3",102,0
"43","B33","damage","2019-07-01","gf3",13,0
"44","B34","damage","2019-07-01","gf3",90,3
"45","B35","damage","2019-07-01","gf3",224,2
"46","B36","damage","2019-07-01","gf3",45,0
"47","B37","damage","2019-07-01","gf3",159,0
"48","B38","damage","2019-07-01","gf3",65,0
"49","B39","damage","2019-07-01","gf3",21,1
"50","B40","damage","2019-07-01","gf3",81,0
"51","B41","control","2019-07-01","gf3",36,5
"52","B42","control","2019-07-01","gf3",33,2
"53","B43","control","2019-07-01","gf3",17,3
"54","B44","control","2019-07-01","gf3",37,7
"55","B45","control","2019-07-01","gf3",136,3
"56","B46","control","2019-07-01","gf3",28,0
"57","B47","control","2019-07-01","gf3",33,2
"58","B48","control","2019-07-01","gf3",50,5
"59","B49","control","2019-07-01","gf3",94,7
"60","B50","control","2019-07-01","gf3",80,6
"61","B51","control","2019-07-01","gf3",43,5
"62","B52","control","2019-07-01","gf3",17,0
"63","B53","control","2019-07-01","gf3",369,9
"64","B54","control","2019-07-01","gf3",40,3
"65","B55","control","2019-07-01","gf3",44,0
"66","B56","control","2019-07-01","gf3",122,0
"67","B57","damage","2019-07-01","gf3",161,1
"68","B58","damage","2019-07-01","gf3",139,3
"69","B59","damage","2019-07-01","gf3",242,5
"70","B60","damage","2019-07-01","gf3",125,0
"71","B61","damage","2019-07-01","gf3",167,1
"72","B62","damage","2019-07-01","gf3",127,5
"73","B63","damage","2019-07-02","gf4",67,6
"74","B64","damage","2019-07-02","gf4",179,5
"75","B65","damage","2019-07-02","gf4",45,9
"76","B66","damage","2019-07-02","gf4",45,12
"77","B67","damage","2019-07-02","gf4",46,2
"78","B68","damage","2019-07-02","gf4",73,12
"79","B69","damage","2019-07-02","gf4",114,1
"80","B70","damage","2019-07-02","gf4",40,13
"81","B71","damage","2019-07-02","gf4",43,1
"82","B72","damage","2019-07-02","gf4",16,2
"83","B73","damage","2019-07-02","gf4",174,0
"84","B74","damage","2019-07-02","gf4",68,1
"85","B75","damage","2019-07-02","gf4",30,0
"86","B76","damage","2019-07-02","gf4",82,1
"87","B77","damage","2019-07-02","gf4",51,0
"88","B78","damage","2019-07-02","gf4",27,0
"89","B79","damage","2019-07-02","gf4",54,4
"90","B80","damage","2019-07-02","gf4",49,1
"91","B81","damage","2019-07-02","gf4",81,1
"92","B82","damage","2019-07-02","gf4",23,0
"93","B83","control","2019-07-02","gf4",108,0
"94","B84","control","2019-07-02","gf4",19,2
"95","B85","control","2019-07-02","gf4",36,1
"96","B86","control","2019-07-02","gf4",47,2
"97","B87","control","2019-07-02","gf4",52,0
"98","B88","control","2019-07-02","gf4",74,0
"99","B89","control","2019-07-02","gf4",116,3
"100","B90","control","2019-07-02","gf4",100,3
"101","B91","control","2019-07-02","gf4",104,0
"102","B92","control","2019-07-02","gf4",61,4
