"pid","treatment","date","site","in_out","conspecific","other","proportion_cons","proportion_het","total","milk_in","vetch","milk_out","galium"
"CW61","control","2019-07-08","gf3","in",53,5,0.913793103448276,0.0862068965517241,58,214,58,202,0.05
"CW62","control","2019-07-08","gf3","in",151,7,0.955696202531646,0.0443037974683544,158,214,58,202,0.05
"CW63","control","2019-07-08","gf3","in",101,6,0.94392523364486,0.0560747663551402,107,214,58,202,0.05
"CW64","control","2019-07-08","gf3","in",102,6,0.944444444444444,0.0555555555555556,108,214,58,202,0.05
"CW65","control","2019-07-08","gf3","in",286,6,0.979452054794521,0.0205479452054795,292,214,58,202,0.05
"CW66","control","2019-07-08","gf3","in",15,5,0.75,0.25,20,214,58,202,0.05
"CW67","control","2019-07-08","gf3","in",220,26,0.894308943089431,0.105691056910569,246,214,58,202,0.05
"CW68","control","2019-07-08","gf3","in",15,0,1,0,15,214,58,202,0.05
"CW69","control","2019-07-08","gf3","in",42,5,0.893617021276596,0.106382978723404,47,214,58,202,0.05
"CW70","control","2019-07-08","gf3","in",86,8,0.914893617021277,0.0851063829787234,94,214,58,202,0.05
"CW71","control","2019-07-08","gf3","in",48,7,0.872727272727273,0.127272727272727,55,214,58,202,0.05
"CW72","control","2019-07-08","gf3","in",141,9,0.94,0.06,150,214,58,202,0.05
"CW73","control","2019-07-08","gf3","in",103,9,0.919642857142857,0.0803571428571429,112,214,58,202,0.05
"CW74","control","2019-07-08","gf3","in",58,4,0.935483870967742,0.0645161290322581,62,214,58,202,0.05
"CW75","control","2019-07-08","gf3","in",121,7,0.9453125,0.0546875,128,214,58,202,0.05
"CW76","control","2019-07-08","gf3","in",89,14,0.864077669902913,0.135922330097087,103,214,58,202,0.05
"CW77","control","2019-07-08","gf3","in",91,8,0.919191919191919,0.0808080808080808,99,214,58,202,0.05
"CW78","control","2019-07-08","gf3","in",211,7,0.967889908256881,0.0321100917431193,218,214,58,202,0.05
"CW21","control","2019-07-01","gf3","in",6,2,0.75,0.25,8,236,25,314,0.4
"CW22","control","2019-07-01","gf3","in",48,10,0.827586206896552,0.172413793103448,58,236,25,314,0.4
"CW23","control","2019-07-01","gf3","in",34,4,0.894736842105263,0.105263157894737,38,236,25,314,0.4
"CW24","control","2019-07-01","gf3","in",115,12,0.905511811023622,0.094488188976378,127,236,25,314,0.4
"CW25","control","2019-07-01","gf3","in",36,4,0.9,0.1,40,236,25,314,0.4
"CW26","control","2019-07-01","gf3","in",98,9,0.91588785046729,0.0841121495327103,107,236,25,314,0.4
"CW27","control","2019-07-01","gf3","in",64,11,0.853333333333333,0.146666666666667,75,236,25,314,0.4
"CW28","control","2019-07-01","gf3","in",139,8,0.945578231292517,0.054421768707483,147,236,25,314,0.4
"CW29","control","2019-07-01","gf3","in",33,2,0.942857142857143,0.0571428571428571,35,236,25,314,0.4
"CW30","control","2019-07-01","gf3","in",33,3,0.916666666666667,0.0833333333333333,36,236,25,314,0.4
"CW31","control","2019-07-01","gf3","in",25,5,0.833333333333333,0.166666666666667,30,236,25,314,0.4
"CW32","control","2019-07-01","gf3","in",59,7,0.893939393939394,0.106060606060606,66,236,25,314,0.4
"CW33","control","2019-07-01","gf3","in",17,8,0.68,0.32,25,236,25,314,0.4
"CW34","control","2019-07-01","gf3","in",50,6,0.892857142857143,0.107142857142857,56,236,25,314,0.4
"CW35","control","2019-07-01","gf3","in",122,6,0.953125,0.046875,128,236,25,314,0.4
"CW36","control","2019-07-01","gf3","in",31,4,0.885714285714286,0.114285714285714,35,236,25,314,0.4
"CW37","control","2019-07-01","gf3","in",103,9,0.919642857142857,0.0803571428571429,112,236,25,314,0.4
"CW38","control","2019-07-01","gf3","in",163,5,0.970238095238095,0.0297619047619048,168,236,25,314,0.4
"CW39","control","2019-07-01","gf3","in",40,4,0.909090909090909,0.0909090909090909,44,236,25,314,0.4
"CW40","control","2019-07-01","gf3","in",63,5,0.926470588235294,0.0735294117647059,68,236,25,314,0.4
"W59","damage","2019-07-08","gf3","out",146,2,0.986486486486487,0.0135135135135135,148,68,26,321,0.05
"W60","damage","2019-07-08","gf3","in",23,6,0.793103448275862,0.206896551724138,29,68,26,321,0.05
"W61","damage","2019-07-08","gf3","in",32,2,0.941176470588235,0.0588235294117647,34,68,26,321,0.05
"W62","damage","2019-07-08","gf3","in",83,4,0.954022988505747,0.0459770114942529,87,68,26,321,0.05
"W63","damage","2019-07-08","gf3","in",249,14,0.946768060836502,0.0532319391634981,263,68,26,321,0.05
"W64","damage","2019-07-08","gf3","in",141,16,0.898089171974522,0.101910828025478,157,68,26,321,0.05
"W65","damage","2019-07-08","gf3","in",69,6,0.92,0.08,75,68,26,321,0.05
"W66","damage","2019-07-08","gf3","in",84,7,0.923076923076923,0.0769230769230769,91,68,26,321,0.05
"W67","damage","2019-07-08","gf3","in",37,6,0.86046511627907,0.13953488372093,43,68,26,321,0.05
"W68","damage","2019-07-08","gf3","in",10,1,0.909090909090909,0.0909090909090909,11,68,26,321,0.05
"W69","damage","2019-07-08","gf3","in",40,12,0.769230769230769,0.230769230769231,52,68,26,321,0.05
"W70","damage","2019-07-08","gf3","in",5,1,0.833333333333333,0.166666666666667,6,68,26,321,0.05
"W71","damage","2019-07-08","gf3","in",158,11,0.93491124260355,0.0650887573964497,169,68,26,321,0.05
"W72","damage","2019-07-08","gf3","in",28,1,0.96551724137931,0.0344827586206897,29,68,26,321,0.05
"W73","damage","2019-07-08","gf3","in",2,2,0.5,0.5,4,68,26,321,0.05
"W74","damage","2019-07-08","gf3","in",95,26,0.785123966942149,0.214876033057851,121,68,26,321,0.05
"W75","damage","2019-07-08","gf3","in",27,7,0.794117647058823,0.205882352941176,34,68,26,321,0.05
"W76","damage","2019-07-08","gf3","in",71,2,0.972602739726027,0.0273972602739726,73,68,26,321,0.05
"W77","damage","2019-07-08","gf3","in",169,5,0.971264367816092,0.028735632183908,174,68,26,321,0.05
"W78","damage","2019-07-08","gf3","in",131,6,0.956204379562044,0.0437956204379562,137,68,26,321,0.05
"W79","damage","2019-07-08","gf3","in",127,13,0.907142857142857,0.0928571428571429,140,68,26,321,0.05
"W80","damage","2019-07-08","gf3","in",61,7,0.897058823529412,0.102941176470588,68,68,26,321,0.05
"W1","damage","2019-07-01","gf3","out",21,4,0.84,0.16,25,57,17,272,0.2
"W2","damage","2019-07-01","gf3","out",4,3,0.571428571428571,0.428571428571429,7,57,17,272,0.2
"W3","damage","2019-07-01","gf3","out",144,30,0.827586206896552,0.172413793103448,174,57,17,272,0.2
"W4","damage","2019-07-01","gf3","out",98,5,0.951456310679612,0.0485436893203883,103,57,17,272,0.2
"W5","damage","2019-07-01","gf3","out",156,9,0.945454545454545,0.0545454545454545,165,57,17,272,0.2
"W6","damage","2019-07-01","gf3","out",70,2,0.972222222222222,0.0277777777777778,72,57,17,272,0.2
"W7","damage","2019-07-01","gf3","out",105,11,0.905172413793103,0.0948275862068965,116,57,17,272,0.2
"W8","damage","2019-07-01","gf3","out",39,2,0.951219512195122,0.0487804878048781,41,57,17,272,0.2
"W9","damage","2019-07-01","gf3","out",39,4,0.906976744186046,0.0930232558139535,43,57,17,272,0.2
"W10","damage","2019-07-01","gf3","out",40,4,0.909090909090909,0.0909090909090909,44,57,17,272,0.2
"W11","damage","2019-07-01","gf3","out",103,2,0.980952380952381,0.019047619047619,105,57,17,272,0.2
"W12","damage","2019-07-01","gf3","out",183,7,0.963157894736842,0.0368421052631579,190,57,17,272,0.2
"W13","damage","2019-07-01","gf3","out",40,0,1,0,40,57,17,272,0.2
"W14","damage","2019-07-01","gf3","out",133,3,0.977941176470588,0.0220588235294118,136,57,17,272,0.2
"W15","damage","2019-07-01","gf3","out",93,4,0.958762886597938,0.0412371134020619,97,57,17,272,0.2
"W16","damage","2019-07-01","gf3","out",424,7,0.983758700696056,0.0162412993039443,431,57,17,272,0.2
"W17","damage","2019-07-01","gf3","out",134,4,0.971014492753623,0.0289855072463768,138,57,17,272,0.2
"W18","damage","2019-07-01","gf3","out",75,10,0.882352941176471,0.117647058823529,85,57,17,272,0.2
"W19","damage","2019-07-01","gf3","out",10,2,0.833333333333333,0.166666666666667,12,57,17,272,0.2
"W20","damage","2019-07-01","gf3","out",15,3,0.833333333333333,0.166666666666667,18,57,17,272,0.2
"W21","damage","2019-07-01","gf3","in",34,2,0.944444444444444,0.0555555555555556,36,57,17,272,0.2
"W22","damage","2019-07-01","gf3","in",79,33,0.705357142857143,0.294642857142857,112,57,17,272,0.2
"W23","damage","2019-07-01","gf3","in",132,6,0.956521739130435,0.0434782608695652,138,57,17,272,0.2
"W24","damage","2019-07-01","gf3","in",155,9,0.945121951219512,0.0548780487804878,164,57,17,272,0.2
