"pid","treatment","date","site","in_out","conspecific","other","proportion_cons","proportion_het","total","milk_in","vetch","milk_out","galium"
"C1","damage","2019-06-27","gf1","out",29,10,0.743589743589744,0.256410256410256,39,NA,NA,NA,NA
"C2","damage","2019-06-27","gf1","out",30,3,0.909090909090909,0.0909090909090909,33,NA,NA,NA,NA
"C3","damage","2019-06-27","gf1","out",136,5,0.964539007092199,0.0354609929078014,141,NA,NA,NA,NA
"C4","damage","2019-06-27","gf1","out",231,9,0.9625,0.0375,240,NA,NA,NA,NA
"C5","damage","2019-06-27","gf1","out",20,2,0.909090909090909,0.0909090909090909,22,NA,NA,NA,NA
"C6","damage","2019-06-27","gf1","out",58,0,1,0,58,NA,NA,NA,NA
"C7","damage","2019-06-27","gf1","out",53,9,0.854838709677419,0.145161290322581,62,NA,NA,NA,NA
"C8","damage","2019-06-27","gf1","out",27,7,0.794117647058823,0.205882352941176,34,NA,NA,NA,NA
"C9","damage","2019-06-27","gf1","out",24,3,0.888888888888889,0.111111111111111,27,NA,NA,NA,NA
"C10","damage","2019-06-27","gf1","out",25,3,0.892857142857143,0.107142857142857,28,NA,NA,NA,NA
"D1","control","2019-06-27","gf1","out",30,7,0.810810810810811,0.189189189189189,37,NA,NA,NA,NA
"D2","control","2019-06-27","gf1","out",11,3,0.785714285714286,0.214285714285714,14,NA,NA,NA,NA
"D3","control","2019-06-27","gf1","out",22,3,0.88,0.12,25,NA,NA,NA,NA
"D4","control","2019-06-27","gf1","out",36,4,0.9,0.1,40,NA,NA,NA,NA
"D5","control","2019-06-27","gf1","out",37,2,0.948717948717949,0.0512820512820513,39,NA,NA,NA,NA
"D6","control","2019-06-27","gf1","out",46,3,0.938775510204082,0.0612244897959184,49,NA,NA,NA,NA
"D7","control","2019-06-27","gf1","out",54,4,0.931034482758621,0.0689655172413793,58,NA,NA,NA,NA
"D8","control","2019-06-27","gf1","out",39,4,0.906976744186046,0.0930232558139535,43,NA,NA,NA,NA
"D9","control","2019-06-27","gf1","out",17,2,0.894736842105263,0.105263157894737,19,NA,NA,NA,NA
"D10","control","2019-06-27","gf1","out",100,2,0.980392156862745,0.0196078431372549,102,NA,NA,NA,NA
"D11","damage","2019-06-28","gf2","in",37,2,0.948717948717949,0.0512820512820513,39,8,13,39,0.3
"D12","damage","2019-06-28","gf2","in",20,5,0.8,0.2,25,8,13,39,0.3
"D13","damage","2019-06-28","gf2","in",37,5,0.880952380952381,0.119047619047619,42,8,13,39,0.3
"D14","damage","2019-06-28","gf2","in",9,3,0.75,0.25,12,8,13,39,0.3
"D15","damage","2019-06-28","gf2","in",43,4,0.914893617021277,0.0851063829787234,47,8,13,39,0.3
"D16","damage","2019-06-28","gf2","in",25,1,0.961538461538462,0.0384615384615385,26,8,13,39,0.3
"D17","damage","2019-06-28","gf2","in",17,18,0.485714285714286,0.514285714285714,35,8,13,39,0.3
"D18","damage","2019-06-28","gf2","in",47,2,0.959183673469388,0.0408163265306122,49,8,13,39,0.3
"D19","damage","2019-06-28","gf2","in",9,1,0.9,0.1,10,8,13,39,0.3
"D20","damage","2019-06-28","gf2","in",26,2,0.928571428571429,0.0714285714285714,28,8,13,39,0.3
"D21","control","2019-06-28","gf2","in",31,5,0.861111111111111,0.138888888888889,36,33,16,60,0.1
"D22","control","2019-06-28","gf2","in",25,0,1,0,25,33,16,60,0.1
"D23","control","2019-06-28","gf2","in",23,1,0.958333333333333,0.0416666666666667,24,33,16,60,0.1
