"pid","treatment","date","site","conspecific","other","proportion_cons","proportion_het","total","milk_in","vetch","milk_out","galium"
"B01","damage","2021-06-23","gf3",2,1,0.666666666666667,0.333333333333333,3,43,22,91,0.9
"B02","damage","2021-06-23","gf3",41,2,0.953488372093023,0.0465116279069767,43,43,22,91,0.9
"B03","damage","2021-06-23","gf3",132,5,0.963503649635037,0.0364963503649635,137,43,22,91,0.9
"B04","damage","2021-06-23","gf3",23,0,1,0,23,43,22,91,0.9
"B05","damage","2021-06-23","gf3",11,0,1,0,11,43,22,91,0.9
"B06","damage","2021-06-23","gf3",20,0,1,0,20,43,22,91,0.9
"B07","damage","2021-06-23","gf3",49,5,0.907407407407407,0.0925925925925926,54,43,22,91,0.9
"B08","damage","2021-06-23","gf3",1,0,1,0,1,43,22,91,0.9
"B09","damage","2021-06-23","gf3",28,0,1,0,28,43,22,91,0.9
"B10","damage","2021-06-23","gf3",26,0,1,0,26,43,22,91,0.9
"B11","control","2021-06-23","gf3",9,0,1,0,9,78,9,75,0.75
"B12","control","2021-06-23","gf3",61,0,1,0,61,78,9,75,0.75
"B13","control","2021-06-23","gf3",45,1,0.978260869565217,0.0217391304347826,46,78,9,75,0.75
"B14","control","2021-06-23","gf3",24,0,1,0,24,78,9,75,0.75
"B15","control","2021-06-23","gf3",22,0,1,0,22,78,9,75,0.75
"B16","control","2021-06-23","gf3",13,1,0.928571428571429,0.0714285714285714,14,78,9,75,0.75
"B17","control","2021-06-23","gf3",10,0,1,0,10,78,9,75,0.75
"B18","control","2021-06-23","gf3",80,0,1,0,80,78,9,75,0.75
"B19","control","2021-06-23","gf3",22,1,0.956521739130435,0.0434782608695652,23,78,9,75,0.75
"B20","control","2021-06-23","gf3",9,0,1,0,9,78,9,75,0.75
"B21","control","2021-06-24","gf4",41,0,1,0,41,23,267,56,0.85
"B22","control","2021-06-24","gf4",40,0,1,0,40,23,267,56,0.85
"B23","control","2021-06-24","gf4",21,0,1,0,21,23,267,56,0.85
"B24","control","2021-06-24","gf4",19,0,1,0,19,23,267,56,0.85
"B25","control","2021-06-24","gf4",30,0,1,0,30,23,267,56,0.85
"B26","control","2021-06-24","gf4",37,0,1,0,37,23,267,56,0.85
"B27","control","2021-06-24","gf4",33,1,0.970588235294118,0.0294117647058824,34,23,267,56,0.85
"B28","control","2021-06-24","gf4",25,0,1,0,25,23,267,56,0.85
"B29","control","2021-06-24","gf4",16,1,0.941176470588235,0.0588235294117647,17,23,267,56,0.85
"B30","control","2021-06-24","gf4",71,6,0.922077922077922,0.0779220779220779,77,23,267,56,0.85
"B31","damage","2021-06-24","gf4",3,2,0.6,0.4,5,34,118,44,0.75
"B32","damage","2021-06-24","gf4",30,0,1,0,30,34,118,44,0.75
"B33","damage","2021-06-24","gf4",1,0,1,0,1,34,118,44,0.75
"B34","damage","2021-06-24","gf4",33,0,1,0,33,34,118,44,0.75
"B35","damage","2021-06-24","gf4",27,1,0.964285714285714,0.0357142857142857,28,34,118,44,0.75
"B36","damage","2021-06-24","gf4",6,0,1,0,6,34,118,44,0.75
"B37","damage","2021-06-24","gf4",18,1,0.947368421052632,0.0526315789473684,19,34,118,44,0.75
"B38","damage","2021-06-24","gf4",25,0,1,0,25,34,118,44,0.75
"B39","damage","2021-06-24","gf4",1,0,1,0,1,34,118,44,0.75
"B40","damage","2021-06-24","gf1",38,0,1,0,38,34,118,44,0.75
"B41","damage","2021-06-28","gf1",34,0,1,0,34,136,65,200,0.4
"B42","damage","2021-06-28","gf1",38,0,1,0,38,136,65,200,0.4
"B43","damage","2021-06-28","gf1",62,1,0.984126984126984,0.0158730158730159,63,136,65,200,0.4
"B44","damage","2021-06-28","gf1",18,0,1,0,18,136,65,200,0.4
"B45","damage","2021-06-28","gf1",25,0,1,0,25,136,65,200,0.4
"B46","damage","2021-06-28","gf1",42,0,1,0,42,136,65,200,0.4
"B47","damage","2021-06-28","gf1",38,0,1,0,38,136,65,200,0.4
"B48","damage","2021-06-28","gf1",73,0,1,0,73,136,65,200,0.4
"B49","damage","2021-06-28","gf1",37,0,1,0,37,136,65,200,0.4
"B50","damage","2021-06-28","gf1",49,0,1,0,49,136,65,200,0.4
"B51","control","2021-06-28","gf1",21,0,1,0,21,166,98,288,0.85
"B52","control","2021-06-28","gf1",15,0,1,0,15,166,98,288,0.85
"B53","control","2021-06-28","gf1",9,0,1,0,9,166,98,288,0.85
"B54","control","2021-06-28","gf1",22,0,1,0,22,166,98,288,0.85
"B55","control","2021-06-28","gf1",55,0,1,0,55,166,98,288,0.85
"B56","control","2021-06-28","gf1",10,0,1,0,10,166,98,288,0.85
"B57","control","2021-06-28","gf1",56,0,1,0,56,166,98,288,0.85
"B58","control","2021-06-28","gf1",32,0,1,0,32,166,98,288,0.85
"B59","control","2021-06-28","gf1",21,0,1,0,21,166,98,288,0.85
"B60","control","2021-06-28","gf1",104,0,1,0,104,166,98,288,0.85
"B61","damage","2021-06-29","gf2",63,1,0.984375,0.015625,64,167,77,105,0.2
"B62","damage","2021-06-29","gf2",10,2,0.833333333333333,0.166666666666667,12,167,77,105,0.2
"B63","damage","2021-06-29","gf2",14,1,0.933333333333333,0.0666666666666667,15,167,77,105,0.2
"B64","damage","2021-06-29","gf2",NA,NA,NA,NA,NA,167,77,105,0.2
"B65","damage","2021-06-29","gf2",26,0,1,0,26,167,77,105,0.2
"B66","damage","2021-06-29","gf2",6,0,1,0,6,167,77,105,0.2
"B67","damage","2021-06-29","gf2",NA,NA,NA,NA,NA,167,77,105,0.2
"B68","damage","2021-06-29","gf2",45,0,1,0,45,167,77,105,0.2
"B69","damage","2021-06-29","gf2",27,0,1,0,27,167,77,105,0.2
"B70","damage","2021-06-29","gf2",18,1,0.947368421052632,0.0526315789473684,19,167,77,105,0.2
"B71","control","2021-06-29","gf2",15,2,0.882352941176471,0.117647058823529,17,211,120,81,0.4
"B72","control","2021-06-29","gf2",14,1,0.933333333333333,0.0666666666666667,15,211,120,81,0.4
"B73","control","2021-06-29","gf2",89,0,1,0,89,211,120,81,0.4
"B74","control","2021-06-29","gf2",39,2,0.951219512195122,0.0487804878048781,41,211,120,81,0.4
"B75","control","2021-06-29","gf2",30,0,1,0,30,211,120,81,0.4
"B76","control","2021-06-29","gf2",35,2,0.945945945945946,0.0540540540540541,37,211,120,81,0.4
"B77","control","2021-06-29","gf2",65,0,1,0,65,211,120,81,0.4
"B78","control","2021-06-29","gf2",49,2,0.96078431372549,0.0392156862745098,51,211,120,81,0.4
"B79","control","2021-06-29","gf2",29,0,1,0,29,211,120,81,0.4
"B80","control","2021-06-29","gf2",NA,NA,NA,NA,NA,211,120,81,0.4
"B81","control","2021-06-30","gf3",14,1,0.933333333333333,0.0666666666666667,15,115,12,147,0.1
"B82","control","2021-06-30","gf3",19,0,1,0,19,115,12,147,0.1
"B83","control","2021-06-30","gf3",74,0,1,0,74,115,12,147,0.1
"B84","control","2021-06-30","gf3",43,0,1,0,43,115,12,147,0.1
"B85","control","2021-06-30","gf3",28,0,1,0,28,115,12,147,0.1
"B86","control","2021-06-30","gf3",36,0,1,0,36,115,12,147,0.1
"B87","control","2021-06-30","gf3",56,0,1,0,56,115,12,147,0.1
"B88","control","2021-06-30","gf3",9,0,1,0,9,115,12,147,0.1
"B89","control","2021-06-30","gf3",57,0,1,0,57,115,12,147,0.1
"B90","control","2021-06-30","gf3",104,0,1,0,104,115,12,147,0.1
"B91","damage","2021-06-30","gf3",55,2,0.964912280701754,0.0350877192982456,57,108,61,170,0.3
"B92","damage","2021-06-30","gf3",37,0,1,0,37,108,61,170,0.3
"B93","damage","2021-06-30","gf3",46,0,1,0,46,108,61,170,0.3
