"bid","site","treatment","date","time","plant_species","poll_species","poll_genus","poll_simple","pollinia","corbs","milk_in","vetch","milk_out","galium"
"B23","gf1","control",2021-06-28,"12:30:00","galium","Augochlora","Augochlora","Other Bee",0,0,166,98,288,0.85
"B24","gf1","control",2021-06-28,"12:30:00","galium","Augochlora","Augochlora","Other Bee",0,0,166,98,288,0.85
"C20","gf1","damage",2021-06-28,"11:35:00","vetch","Andrena","Andrena","Other Bee",0,1,136,65,200,0.4
"C22","gf1","control",2021-06-28,"12:30:00","vetch","Andrena","Andrena","Other Bee",NA,0,166,98,288,0.85
"D19","gf1","damage",2021-06-28,"10:12:00","vetch","Andrena","Andrena","Other Bee",0,1,136,65,200,0.4
"C38","gf2","control",2021-06-29,"12:45:00","galium","Augochlora","Augochlora","Other Bee",0,0,211,120,81,0.4
"A35","gf3","damage",2021-06-30,"09:18:00","milkweed","Agapostemon","Agapostemon","Other Bee",0,0,108,61,170,0.3
"C48","gf3","damage",2021-06-30,"10:09:00","vetch","Andrena","Andrena","Other Bee",0,0,108,61,170,0.3
"C13","gf4","damage",2021-06-24,"13:25:00","galium","Augochlora","Augochlora","Other Bee",0,0,34,118,44,0.75
"D12","gf4","damage",2021-06-24,"12:27:00","vetch","Andrena","Andrena","Other Bee",0,0,34,118,44,0.75
"D14","gf4","control",2021-06-24,"13:21:00","vetch","Andrena","Andrena","Other Bee",0,0,23,267,56,0.85
"A15","gf1","control",2021-06-28,"10:12:00","milkweed","Apis","Apis","Apis",5,0,166,98,288,0.85
"A17","gf1","control",2021-06-28,"11:35:00","milkweed","Apis","Apis","Apis",2,0,166,98,288,0.85
"A18","gf1","control",2021-06-28,"11:35:00","milkweed","Apis","Apis","Apis",1,0,166,98,288,0.85
"A20","gf1","damage",2021-06-28,"12:30:00","milkweed","Apis","Apis","Apis",6,0,136,65,200,0.4
"B16","gf1","damage",2021-06-28,"09:10:00","milkweed","Apis","Apis","Apis",3,0,136,65,200,0.4
"B17","gf1","damage",2021-06-28,"09:10:00","milkweed","Apis","Apis","Apis",1,0,136,65,200,0.4
"B20","gf1","control",2021-06-28,"10:14:00","milkweed","Apis","Apis","Apis",3,0,166,98,288,0.85
"C15","gf1","damage",2021-06-28,"09:10:00","milkweed","Apis","Apis","Apis",2,0,136,65,200,0.4
"C18","gf1","damage",2021-06-28,"11:35:00","milkweed","Apis","Apis","Apis",1,0,136,65,200,0.4
"C21","gf1","control",2021-06-28,"12:30:00","milkweed","Apis","Apis","Apis",3,0,166,98,288,0.85
"D22","gf1","control",2021-06-28,"11:35:00","milkweed","Apis","Apis","Apis",0,0,166,98,288,0.85
"D24","gf1","damage",2021-06-28,"12:30:00","milkweed","Apis","Apis","Apis",2,0,136,65,200,0.4
"A23","gf2","control",2021-06-29,"09:14:00","milkweed","Apis","Apis","Apis",4,0,211,120,81,0.4
"A25","gf2","control",2021-06-29,"09:14:00","milkweed","Apis","Apis","Apis",5,0,211,120,81,0.4
"A27","gf2","control",2021-06-29,"11:20:00","milkweed","Apis","Apis","Apis",2,0,211,120,81,0.4
"A28","gf2","damage",2021-06-29,"12:45:00","milkweed","Apis","Apis","Apis",5,0,167,77,105,0.2
"B27","gf2","damage",2021-06-29,"09:18:00","milkweed","Apis","Apis","Apis",3,0,167,77,105,0.2
"B30","gf2","damage",2021-06-29,"11:18:00","milkweed","Apis","Apis","Apis",1,0,167,77,105,0.2
"C25","gf2","damage",2021-06-29,"09:18:00","milkweed","Apis","Apis","Apis",3,0,167,77,105,0.2
"C30","gf2","control",2021-06-29,"10:18:00","milkweed","Apis","Apis","Apis",2,0,211,120,81,0.4
"C32","gf2","damage",2021-06-29,"11:18:00","milkweed","Apis","Apis","Apis",1,0,167,77,105,0.2
"C36","gf2","control",2021-06-29,"12:45:00","milkweed","Apis","Apis","Apis",2,0,211,120,81,0.4
"C39","gf2","damage",2021-06-29,"13:38:00","milkweed","Apis","Apis","Apis",4,0,167,77,105,0.2
"D30","gf2","damage",2021-06-29,"10:20:00","milkweed","Apis","Apis","Apis",4,0,167,77,105,0.2
"D33","gf2","control",2021-06-29,"11:20:00","milkweed","Apis","Apis","Apis",2,0,211,120,81,0.4
"D34","gf2","control",2021-06-29,"11:20:00","milkweed","Apis","Apis","Apis",2,0,211,120,81,0.4
"D35","gf2","damage",2021-06-29,"12:45:00","milkweed","Apis","Apis","Apis",1,0,167,77,105,0.2
"A1 ","gf3","damage",2021-06-23,"11:18:00","milkweed","Apis","Apis","Apis",2,0,43,22,91,0.9
"A33","gf3","damage",2021-06-30,"09:18:00","milkweed","Apis","Apis","Apis",2,0,108,61,170,0.3
"A34","gf3","damage",2021-06-30,"09:18:00","milkweed","Apis","Apis","Apis",1,0,108,61,170,0.3
"A41","gf3","control",2021-06-30,"10:11:00","milkweed","Apis","Apis","Apis",5,0,115,12,147,0.1
"A42","gf3","control",2021-06-30,"10:11:00","milkweed","Apis","Apis","Apis",1,0,115,12,147,0.1
"A46","gf3","damage",2021-06-30,"11:21:00","milkweed","Apis","Apis","Apis",7,0,108,61,170,0.3
"A50","gf3","control",2021-06-30,"12:30:00","milkweed","Apis","Apis","Apis",3,0,115,12,147,0.1
"B4","gf3","damage",2021-06-23,"12:20:00","milkweed","Apis","Apis","Apis",6,0,43,22,91,0.9
"B6","gf3","control",2021-06-23,"12:50:00","milkweed","Apis","Apis","Apis",1,0,78,9,75,0.75
"B7","gf3","control",2021-06-23,"13:17:00","galium","Apis","Apis","Apis",8,0,78,9,75,0.75
"B33","gf3","damage",2021-06-30,"09:18:00","milkweed","Apis","Apis","Apis",2,0,108,61,170,0.3
"B42","gf3","damage",2021-06-30,"13:25:00","milkweed","Apis","Apis","Apis",6,0,108,61,170,0.3
"B43","gf3","damage",2021-06-30,"13:25:00","milkweed","Apis","Apis","Apis",9,0,108,61,170,0.3
"C5","gf3","control",2021-06-23,"12:50:00","milkweed","Apis","Apis","Apis",5,0,78,9,75,0.75
"C6","gf3","control",2021-06-23,"13:17:00","milkweed","Apis","Apis","Apis",8,0,78,9,75,0.75
"C7","gf3","control",2021-06-23,"13:17:00","milkweed","Apis","Apis","Apis",10,0,78,9,75,0.75
"C8","gf3","control",2021-06-23,"13:17:00","milkweed","Apis","Apis","Apis",4,0,78,9,75,0.75
"C46","gf3","damage",2021-06-30,"10:09:00","milkweed","Apis","Apis","Apis",3,0,108,61,170,0.3
"C49","gf3","control",2021-06-30,"11:11:00","milkweed","Apis","Apis","Apis",1,0,115,12,147,0.1
"C51","gf3","damage",2021-06-30,"12:28:00","milkweed","Apis","Apis","Apis",6,0,108,61,170,0.3
