"pid","treatment","date","site","conspecific","other","proportion_cons","proportion_het","total","milk_in","vetch","milk_out","galium"
"A01","damage","2021-06-23","gf3",439,0,1,0,439,43,22,91,0.9
"A02","damage","2021-06-23","gf3",137,0,1,0,137,43,22,91,0.9
"A03","damage","2021-06-23","gf3",197,0,1,0,197,43,22,91,0.9
"A04","damage","2021-06-23","gf3",391,7,0.982412060301508,0.0175879396984925,398,43,22,91,0.9
"A05","damage","2021-06-23","gf3",254,5,0.980694980694981,0.0193050193050193,259,43,22,91,0.9
"A06","damage","2021-06-23","gf3",408,20,0.953271028037383,0.0467289719626168,428,43,22,91,0.9
"A07","damage","2021-06-23","gf3",171,3,0.982758620689655,0.0172413793103448,174,43,22,91,0.9
"A08","damage","2021-06-23","gf3",330,21,0.94017094017094,0.0598290598290598,351,43,22,91,0.9
"A09","damage","2021-06-23","gf3",389,5,0.987309644670051,0.0126903553299492,394,43,22,91,0.9
"A10","damage","2021-06-23","gf3",209,3,0.985849056603774,0.0141509433962264,212,43,22,91,0.9
"A11","control","2021-06-23","gf3",299,5,0.983552631578947,0.0164473684210526,304,78,9,75,0.75
"A12","control","2021-06-23","gf3",489,7,0.985887096774194,0.0141129032258065,496,78,9,75,0.75
"A13","control","2021-06-23","gf3",447,16,0.965442764578834,0.0345572354211663,463,78,9,75,0.75
"A14","control","2021-06-23","gf3",143,0,1,0,143,78,9,75,0.75
"A15","control","2021-06-23","gf3",133,4,0.970802919708029,0.0291970802919708,137,78,9,75,0.75
"A16","control","2021-06-23","gf3",461,20,0.958419958419958,0.0415800415800416,481,78,9,75,0.75
"A17","control","2021-06-23","gf3",199,9,0.956730769230769,0.0432692307692308,208,78,9,75,0.75
"A18","control","2021-06-23","gf3",255,6,0.977011494252874,0.0229885057471264,261,78,9,75,0.75
"A19","control","2021-06-23","gf3",455,2,0.99562363238512,0.00437636761487965,457,78,9,75,0.75
"A20","control","2021-06-23","gf3",NA,NA,NA,NA,NA,78,9,75,0.75
"A21","control","2021-06-24","gf4",166,14,0.922222222222222,0.0777777777777778,180,23,267,56,0.85
"A22","control","2021-06-24","gf4",180,1,0.994475138121547,0.00552486187845304,181,23,267,56,0.85
"A23","control","2021-06-24","gf4",216,4,0.981818181818182,0.0181818181818182,220,23,267,56,0.85
"A24","control","2021-06-24","gf4",200,1,0.995024875621891,0.00497512437810945,201,23,267,56,0.85
"A25","control","2021-06-24","gf4",185,2,0.989304812834225,0.0106951871657754,187,23,267,56,0.85
"A26","control","2021-06-24","gf4",461,5,0.989270386266094,0.0107296137339056,466,23,267,56,0.85
"A27","control","2021-06-24","gf4",168,0,1,0,168,23,267,56,0.85
"A28","control","2021-06-24","gf4",242,0,1,0,242,23,267,56,0.85
"A29","control","2021-06-24","gf4",118,2,0.983333333333333,0.0166666666666667,120,23,267,56,0.85
"A30","control","2021-06-24","gf4",120,3,0.975609756097561,0.024390243902439,123,23,267,56,0.85
"A31","damage","2021-06-24","gf4",75,2,0.974025974025974,0.025974025974026,77,34,118,44,0.75
"A32","damage","2021-06-24","gf4",78,4,0.951219512195122,0.0487804878048781,82,34,118,44,0.75
"A33","damage","2021-06-24","gf4",119,3,0.975409836065574,0.0245901639344262,122,34,118,44,0.75
"A34","damage","2021-06-24","gf4",341,5,0.985549132947977,0.0144508670520231,346,34,118,44,0.75
"A35","damage","2021-06-24","gf4",502,4,0.992094861660079,0.00790513833992095,506,34,118,44,0.75
"A36","damage","2021-06-24","gf4",316,3,0.990595611285266,0.00940438871473354,319,34,118,44,0.75
"A37","damage","2021-06-24","gf4",166,4,0.976470588235294,0.0235294117647059,170,34,118,44,0.75
"A38","damage","2021-06-24","gf4",155,2,0.987261146496815,0.0127388535031847,157,34,118,44,0.75
"A39","damage","2021-06-24","gf4",209,0,1,0,209,34,118,44,0.75
"A40","damage","2021-06-24","gf4",148,0,1,0,148,34,118,44,0.75
"A41","damage","2021-06-28","gf1",80,0,1,0,80,136,65,200,0.4
"A42","damage","2021-06-28","gf1",125,0,1,0,125,136,65,200,0.4
"A43","damage","2021-06-28","gf1",47,0,1,0,47,136,65,200,0.4
"A44","damage","2021-06-28","gf1",94,0,1,0,94,136,65,200,0.4
"A45","damage","2021-06-28","gf1",98,1,0.98989898989899,0.0101010101010101,99,136,65,200,0.4
"A46","damage","2021-06-28","gf1",118,0,1,0,118,136,65,200,0.4
"A47","damage","2021-06-28","gf1",196,8,0.96078431372549,0.0392156862745098,204,136,65,200,0.4
"A48","damage","2021-06-28","gf1",179,1,0.994444444444444,0.00555555555555556,180,136,65,200,0.4
"A49","damage","2021-06-28","gf1",52,4,0.928571428571429,0.0714285714285714,56,136,65,200,0.4
"A50","damage","2021-06-28","gf1",170,1,0.994152046783626,0.00584795321637427,171,136,65,200,0.4
"A51","control","2021-06-28","gf1",63,0,1,0,63,166,98,288,0.85
"A52","control","2021-06-28","gf1",159,0,1,0,159,166,98,288,0.85
