"bid","site","treatment","date","time","poll_species","poll_genus","poll_simple","pollinia","corbs","milk_in","vetch","milk_out","galium","year","pollen_vetch","pollen_other"
"A10","gf1","control","2018-07-11","11:02:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,50,160
"A11","gf1","control","2018-07-11","11:08:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,183,3
"A128","gf1","damage","2018-07-13","13:21:00","Bombus impatiens","Bombus","Bombus",0,0,NA,NA,NA,NA,2018,33,2
"A24","gf1","control","2018-07-11","14:03:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,21,2
"A7","gf1","control","2018-07-11","10:53:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,18,5
"B106","gf1","control","2018-07-13","10:24:00","Andrena","Andrena","Other Bees",0,1,NA,NA,NA,NA,2018,246,0
"B207","gf3","control","2018-07-16","09:46:00","Diptera","Diptera","Other Insects",0,0,NA,NA,NA,NA,2018,3,5
"B212","gf3","damage","2018-07-16","10:44:00","Syrphus","Syrphus","Other Insects",0,0,NA,NA,NA,NA,2018,2,5
"B219","gf3","damage","2018-07-16","11:03:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,10,3
"B234","gf3","damage","2018-07-16","13:21:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,487,12
"B59","gf3","damage","2018-07-12","10:35:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,239,131
"C107","gf1","control","2018-07-13","10:32:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,21,1
"C117","gf1","control","2018-07-13","13:24:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,940,5
"C5","gf1","control","2018-07-11","10:05:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,59,4
"D105","gf1","damage","2018-07-13","10:28:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,40,0
"C106","gf1","control","2018-07-13","10:30:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,523,28
